"name","city","state","zipcode","address","phone_no","page_url"
"Purified Air Conditioning","North Fort Myers","Florida","33905","North Fort Myers Florida, US-33905","239-573-2086","https://www.trane.com/residential/en/dealers/purified-air-conditioning-north-fort-myers-fl/"
"PURE AIR","Garden Grove","California","92840","Garden Grove California, US-92840","714-537-9751","https://www.trane.com/residential/en/dealers/pure-air-garden-grove-ca/"
"Pure Air","Naples","Florida","34109","Naples Florida, US-34109","239-597-7873","https://www.trane.com/residential/en/dealers/pure-air-naples-fl/"
"Pruitt Heating and Air Inc.","Buford","Georgia","30518","Buford Georgia, US-30518","770-476-1855","https://www.trane.com/residential/en/dealers/pruitt-heating-and-air-inc-buford-ga/"
"PROTOCOOL Cooling Solutions","Sunrise","Florida","33323","Sunrise Florida, US-33323","954-776-2665","https://www.trane.com/residential/en/dealers/protocool-cooling-solutions-sunrise-fl/"
"ProSkill Plumbing Heating & Air","Phoenix","Arizona","85086","Phoenix Arizona, US-85086","623-551-7473","https://www.trane.com/residential/en/dealers/proskill-plumbing-heating-and-air-phoenix-az/"
"ProQuest Cooling Systems, Inc","Fort Myers","Florida","33966","Fort Myers Florida, US-33966","239-277-7727","https://www.trane.com/residential/en/dealers/proquest-cooling-systems-inc-fort-myers-fl/"
"Progressive Service Company","Raleigh","North Carolina","27617","Raleigh North Carolina, US-27617","919-325-0180","https://www.trane.com/residential/en/dealers/progressive-service-co-raleigh-nc/"
"Pro-Tech Air Conditioning & Plumbing Service, Inc (Lake Nona Branch)","Orlando","Florida","32827","Orlando Florida, US-32827","321-299-0581","https://www.trane.com/residential/en/dealers/pro-tech-air-conditioning-and-plumbing-service-inc-orlando-fl/"
"Pro-Tech Air Conditioning & Plumbing Service, Inc (Lake Mary)","Lake Mary","Florida","32746","Lake Mary Florida, US-32746","321-299-0581","https://www.trane.com/residential/en/dealers/pro-tech-air-conditioning-and-plumbing-service-inc-lake-mary-fl/"
"Pro-Tech Air Conditioning & Plumbing Service, Inc","Orlando","Florida","32804","Orlando Florida, US-32804","321-299-0581","https://www.trane.com/residential/en/dealers/pro-tech-air-cond-and-plumbing-service-inc-orlando-fl/"
"Pro-Tech Air Conditioning & Plumbing Service (Winter Garden)","Winter Garden ","Florida","34787","Winter Garden  Florida, US-34787","321-299-0581","https://www.trane.com/residential/en/dealers/pro-tech-ac-winter-garden-fl/"
"Princeton Air","Princeton Junction","New Jersey","08550","Princeton Junction New Jersey, US-08550","609-212-4048","https://www.trane.com/residential/en/dealers/princeton-air-princeton-junction-nj/"
"Prime Comfort","Charlotte","North Carolina","28270","Charlotte North Carolina, US-28270","704-844-2665","https://www.trane.com/residential/en/dealers/prime-comfort-charlotte-nc/"
"PRIDGEN BROTHERS CONTRACTORS","Whiteville","North Carolina","28472","Whiteville North Carolina, US-28472","910-642-8174","https://www.trane.com/residential/en/dealers/pridgen-brothers-contractors-whiteville-nc/"
"Pride Air Conditioning & Appliances","Pompano Beach","Florida","33069","Pompano Beach Florida, US-33069","954-977-7433","https://www.trane.com/residential/en/dealers/pride-air-conditioning-and-appliances-pompano-beach-fl/"
"Price Services Heating and Air","Western NC","North Carolina","28722","Western NC North Carolina, US-28722","828-863-4966","https://www.trane.com/residential/en/dealers/price-services-heating-and-air-western-nc/"
"Price Heating & Air Co","Republic","Missouri","65738","Republic Missouri, US-65738","417-839-7951","https://www.trane.com/residential/en/dealers/price-heating-and-air-republic-mo/"
"Preferred Choice Heating and Air Inc","Greenville","South Carolina","29609","Greenville South Carolina, US-29609","","https://www.trane.com/residential/en/dealers/preferred-choice-heating-and-air-inc-greenville-sc/"
"PREFERRED CHOICE HEATING AIR","Greenville","South Carolina","29609","Greenville South Carolina, US-29609","864-233-8001","https://www.trane.com/residential/en/dealers/preferred-choice-heating-air-greenville-sc/"
"PRECISION TECH HOME SERVICES INC","Manalapan","New Jersey","07726","Manalapan New Jersey, US-07726","732-780-3131","https://www.trane.com/residential/en/dealers/precision-tech-home-services-inc-manalapan-nj/"
"Precision Plumbing and Heating Systems","Traverse City","Michigan","49684","Traverse City Michigan, US-49684","231-947-0100","https://www.trane.com/residential/en/dealers/precision-plumbing-and-heating-systems-traverse-city-mi/"
"Precision Heating and Air Inc","Dallas","Georgia","30157","Dallas Georgia, US-30157","770-445-0870","https://www.trane.com/residential/en/dealers/precision-heating-and-air-inc-dallas-ga/"
"Precision Heating & Cooling Inc.","Chicago","Illinois","60622","Chicago Illinois, US-60622","773-227-4975","https://www.trane.com/residential/en/dealers/precision-heating-and-cooling-inc-chicago-il/"
"Precision Heating & Cooling Inc.","Alsip","Illinois","60803","Alsip Illinois, US-60803","708-371-5400","https://www.trane.com/residential/en/dealers/precision-heating-and-cooling-inc-alsip-il/"
"PRECISION HEATING & AIR CONDITIONING, INC.","Linfield","Pennsylvania","19468","Linfield Pennsylvania, US-19468","610-495-7399","https://www.trane.com/residential/en/dealers/precision-heating-and-air-conditioning-inc-linfield-pa/"
"PRECISION COMFORT SYSTEMS INC","Weststfield ","Indiana","46074","Weststfield  Indiana, US-46074","317-867-2665","https://www.trane.com/residential/en/dealers/precision-comfort-systems-inc-westfield-indiana/"
"Precision Air Inc","Encinitas","California","92024","Encinitas California, US-92024","760-858-8000","https://www.trane.com/residential/en/dealers/precision-air-inc-encinitas-ca/"
"Precision Air & Heat, LLC.","Indian Land","South Carolina","29707","Indian Land South Carolina, US-29707","803-396-2855","https://www.trane.com/residential/en/dealers/precision-air-and-heat-llc-indian-land-sc/"
"Prairie Sons","Brandon","South Dakota","57005","Brandon South Dakota, US-57005","605-582-8611","https://www.trane.com/residential/en/dealers/prairie-sons-brandon-sd/"
"PR Plumbing, Heating and Air Conditioning","Fresno","California","93726","Fresno California, US-93726","559-244-0440","https://www.trane.com/residential/en/dealers/pr-plumbing-heating-and-air-conditioning-fresno-ca/"
"Powers Services","Walters","Oklahoma","73572","Walters Oklahoma, US-73572","580-875-3645","https://www.trane.com/residential/en/dealers/powers-services-walters-ok/"
"POUDRE VALLEY AIR, INC.","Fort Collins","Colorado","80524","Fort Collins Colorado, US-80524","970-493-2050","https://www.trane.com/residential/en/dealers/poudre-valley-air-inc-fort-collins-co/"
"Popejoy Plumbing, Heating and Electric","Fairbury","Illinois","61739","Fairbury Illinois, US-61739","815-692-4471","https://www.trane.com/residential/en/dealers/popejoy-plumbing-heating-and-electric-fairbury-il/"
"Popa Heating & Cooling","Highland","Indiana","46322","Highland Indiana, US-46322","219-838-7700","https://www.trane.com/residential/en/dealers/popa-heating-and-cooling-highland-in/"
"POORMAN’S HEATING & AC, INC.","Fort Wayne","Indiana","46802","Fort Wayne Indiana, US-46802","260-422-3534","https://www.trane.com/residential/en/dealers/poormans-heating-and-ac-inc-fort-wayne-in/"
"Polhamus Heating & AC, Inc.","Moses Lake","Washington","98837","Moses Lake Washington, US-98837","509-765-8524","https://www.trane.com/residential/en/dealers/polhamus-heating-and-ac-inc-moses-lake-wa/"
"Polar Express Heating and Air Conditioning","Lake Elsinore","California","92530","Lake Elsinore California, US-92530","800-975-2654","https://www.trane.com/residential/en/dealers/polar-express-heating-and-air-conditioning-lake-elsinore-ca/"
"Polar Express Air Conditioning & Heat LLc","Orlando","Florida","32807","Orlando Florida, US-32807","321-263-1351","https://www.trane.com/residential/en/dealers/polar-express-air-conditioning-and-heat-llc-orlando-fl/"
"Polar Bear Mechanical","Cape May Court House","New Jersey","08210","Cape May Court House New Jersey, US-08210","609-884-4402","https://www.trane.com/residential/en/dealers/polar-bear-mechanical-cape-may-court-house-nj/"
"POLAR AIR OF NJ INC","Brick","New Jersey","08724","Brick New Jersey, US-08724","732-840-3982","https://www.trane.com/residential/en/dealers/polar-air-of-nj-inc-brick-nj/"
"Poe Air","Azle","Texas","76020","Azle Texas, US-76020","817-840-6487","https://www.trane.com/residential/en/dealers/poe-air-azle-tx/"
"Plunkett Heating","Augusta","Georgia","30909","Augusta Georgia, US-30909","706-738-1406","https://www.trane.com/residential/en/dealers/plunkett-heating-augusta-ga/"
"Plumbsmart Plumbing Heating & Air","Mesa","Arizona","85213","Mesa Arizona, US-85213","480-654-8865","https://www.trane.com/residential/en/dealers/plumbsmart-plumbing-heating-air-mesa-az/"
"Plumbing Heating Paramedics","Noblesville","Indiana","46060","Noblesville Indiana, US-46060","317-456-0177","https://www.trane.com/residential/en/dealers/plumbing-heating-paramedics-noblesville-in/"
"PLEASANT AIR INC.","Hampstead","North Carolina","28443","Hampstead North Carolina, US-28443","910-270-3934","https://www.trane.com/residential/en/dealers/pleasant-air-inc-hampstead-nc/"
"Pleasant Air Conditioning Services","Pinellas Park ","Florida","33764","Pinellas Park  Florida, US-33764","727-510-2032","https://www.trane.com/residential/en/dealers/pleasant-air-conditioning-pinellas-park-florida/"
"Pittman Heating & AC","Seneca","South Carolina","29678","Seneca South Carolina, US-29678","864-882-3215","https://www.trane.com/residential/en/dealers/pittman-heating-and-ac-seneca-sc/"
"Pipeline Mechanical, Inc.","Mount Dora","Florida","32757","Mount Dora Florida, US-32757","352-385-0195","https://www.trane.com/residential/en/dealers/pipeline-mechanical-inc-mount-dora-fl/"
"Pioneer Heating & Air Conditioning, Inc.","Knoxville","Tennessee","37938","Knoxville Tennessee, US-37938","865-922-2817","https://www.trane.com/residential/en/dealers/pioneer-heating-and-air-conditioning-inc-knoxville-tn/"
"Pinellas Comfort Systems Inc, d/b/a/ PCS, Inc.","Clearwater","Florida","33760","Clearwater Florida, US-33760","727-572-1485","https://www.trane.com/residential/en/dealers/pinellas-comfort-systems-inc-d-b-a-pcs-inc-clearwater-fl/"
"PINE BLUFF HTG & AC,INC","Pine Bluff","Arkansas","71601","Pine Bluff Arkansas, US-71601","870-536-3998","https://www.trane.com/residential/en/dealers/pine-bluff-htg-and-acinc-pine-bluff-ar/"
"Pileiro Heating & Cooling","Ocean City","New Jersey","08226","Ocean City New Jersey, US-08226","609-602-7796","https://www.trane.com/residential/en/dealers/pileiro-heating-and-cooling-ocean-city-nj/"
"Pierce Heating & Cooling","Bendena","Kansas","66008","Bendena Kansas, US-66008","785-988-4400","https://www.trane.com/residential/en/dealers/pierce-heating-and-cooling-bendena-ks/"
"Phillips Heating & Cooling, Inc.","Prescott","Arizona","86323","Prescott Arizona, US-86323","928-445-0282","https://www.trane.com/residential/en/dealers/phillips-heating-and-cooling-inc-prescott-az/"
"PHILLIPS & SONS","Frankfort","Kentucky","40601","Frankfort Kentucky, US-40601","502-695-5115","https://www.trane.com/residential/en/dealers/phillips-and-sons-frankfort-ky/"
"Phelps Heating & Air","Monroe","Georgia","30655","Monroe Georgia, US-30655","770-267-2043","https://www.trane.com/residential/en/dealers/phelps-heating-and-air-monroe-ga/"
"PHE Contractors","Randolph","Wisconsin","53956","Randolph Wisconsin, US-53956","920-326-3213","https://www.trane.com/residential/en/dealers/phe-contractors-randolph-wi/"
"PGA Inc","Weston","Wisconsin","54476","Weston Wisconsin, US-54476","715-355-6717","https://www.trane.com/residential/en/dealers/pga-inc-weston-wi/"
"Petro Home Services- Poughkeepsie","Poughkeepsie","New York","12603","Poughkeepsie New York, US-12603","844-291-7753","https://www.trane.com/residential/en/dealers/petro-home-services-poughkeepsie-ny/"
"Petersen Plumbing & Heating","Davenport","Iowa","52802","Davenport Iowa, US-52802","563-326-1658","https://www.trane.com/residential/en/dealers/petersen-plumbing-and-heating-davenport-ia/"
"Perry Hall Heating & A/C","Baltimore","Maryland","21236","Baltimore Maryland, US-21236","410-256-7285","https://www.trane.com/residential/en/dealers/perry-hall-heating-and-a-c-baltimore-md/"
"PERFORMANCE HTG & COOLING INC","Wilson","North Carolina","27896","Wilson North Carolina, US-27896","252-399-1100","https://www.trane.com/residential/en/dealers/performance-htg-and-cooling-inc-wilson-nc/"
"Performance Heat & Air, Inc.","Mansfield","Texas","76063","Mansfield Texas, US-76063","817-477-1000","https://www.trane.com/residential/en/dealers/performance-heat-and-air-inc-mansfield-tx/"
"Performance Air Conditioning Service","Largo","Florida","33773","Largo Florida, US-33773","727-323-8088","https://www.trane.com/residential/en/dealers/performance-air-conditioning-service-largo-fl/"
"PERFECTION CONTRACTING INC","Newton","New Jersey","07860","Newton New Jersey, US-07860","973-579-0182","https://www.trane.com/residential/en/dealers/perfection-contracting-inc-newton-nj/"
"Perfect Home Services","Lisle","Illinois","60504","Lisle Illinois, US-60504","630-225-7744","https://www.trane.com/residential/en/dealers/perfect-home-services-lisle-il/"
"Perfect Cooling, Inc.","Delray Beach","Florida","33445","Delray Beach Florida, US-33445","561-276-9553","https://www.trane.com/residential/en/dealers/perfect-cooling-inc-delray-beach-fl/"
"Perfect Comfort Inc","Salisbury Mills","New York","12577","Salisbury Mills New York, US-12577","845-497-1005","https://www.trane.com/residential/en/dealers/perfect-comfort-salisbury-mills-ny/"
"PENINSULA HEATING AND AIR","Hayes","Virginia","23072","Hayes Virginia, US-23072","804-642-6163","https://www.trane.com/residential/en/dealers/peninsula-heating-and-air-hayes-va/"
"Penguin Air Cooling and Heating Corporation","Monroe","North Carolina","28110","Monroe North Carolina, US-28110","704-296-0800","https://www.trane.com/residential/en/dealers/penguin-air-cooling-heating-monroe-nc/"
"PENDLEY HEATING & AIR COND","Cartersville","Georgia","30120","Cartersville Georgia, US-30120","770-382-1221","https://www.trane.com/residential/en/dealers/pendley-heating-and-air-cond-cartersville-ga/"
"PENCE PLUMBING & ELECTRIC","Kearney","Missouri","64060","Kearney Missouri, US-64060","816-628-6711","https://www.trane.com/residential/en/dealers/pence-plumbing-and-electric-kearney-mo/"
"PENCE HTG & CLG","Smithville","Missouri","64089","Smithville Missouri, US-64089","816-532-0303","https://www.trane.com/residential/en/dealers/pence-htg-and-clg-smithville-mo/"
"Pell City Heating & Cooling, Inc.","Pell City","Alabama","35125","Pell City Alabama, US-35125","205-338-2820","https://www.trane.com/residential/en/dealers/pell-city-heating-and-cooling-inc-pell-city-al/"
"PDQ MECHANICAL","Gilbert","Arizona","85233","Gilbert Arizona, US-85233","480-963-9633","https://www.trane.com/residential/en/dealers/pdq-mechanical-gilbert-az/"
"Payless Cooling & Heating","Pearland","Texas","77581","Pearland Texas, US-77581","281-227-3784","https://www.trane.com/residential/en/dealers/payless-cooling-and-heating-pearland-tx/"
"Pax-Sun, Inc.","Nacogdoches","Texas","75964","Nacogdoches Texas, US-75964","936-676-4760","https://www.trane.com/residential/en/dealers/pax-sun-inc-nacogdoches-tx/"
"Patton Mechanical Service","Halifax","North Carolina","27839","Halifax North Carolina, US-27839","252-583-0004","https://www.trane.com/residential/en/dealers/patton-mechanical-service-halifax-nc/"
"Paschall Heating & Air","Murfreesboro","Tennessee","37129","Murfreesboro Tennessee, US-37129","615-785-5702","https://www.trane.com/residential/en/dealers/paschall-heating-and-air-murfreesboro-tn/"
"Paschal Air, Plumbing & Electric","Springdale","Arkansas","72762","Springdale Arkansas, US-72762","479-751-0195","https://www.trane.com/residential/en/dealers/paschal-air-plumbing-electric-springdale-ar/"
"Parrish Services","Manassas","Virginia","20109","Manassas Virginia, US-20109","571-358-9954","https://www.trane.com/residential/en/dealers/parrish-services-manassas-va/"
"Parkway Heating & Air, Inc.","Waynesville","North Carolina","28786","Waynesville North Carolina, US-28786","828-452-5297","https://www.trane.com/residential/en/dealers/parkway-heating-and-air-inc-waynesville-nc/"
"PARKERS HEATING & A/C INC","Americus","Georgia","31709","Americus Georgia, US-31709","229-924-3693","https://www.trane.com/residential/en/dealers/parkers-heating-and-a-c-inc-americus-ga/"
"Parker Heating & Cooling","Pinckneyville","Illinois","62959","Pinckneyville Illinois, US-62959","618-998-0234","https://www.trane.com/residential/en/dealers/parker-heating-and-cooling-pinckneyville-il/"
"Paramount Heating & Air Conditioning","New Albany","Ohio","43054","New Albany Ohio, US-43054","614-349-3332","https://www.trane.com/residential/en/dealers/paramount-heating-and-air-conditioning-new-albany-oh/"
"Paragon Mechanical, Inc.","Arlington Heights","Illinois","60004","Arlington Heights Illinois, US-60004","847-321-9428","https://www.trane.com/residential/en/dealers/paragon-mechanical-inc-arlington-heights-il/"
"Papalia Home Services","Acton","Massachusetts","01719","Acton Massachusetts, US-01719","978-308-9055","https://www.trane.com/residential/en/dealers/papalia-home-services-acton-ma/"
"Panther Heating & Cooling","Rock Hill","South Carolina","29730","Rock Hill South Carolina, US-29730","803-327-2700","https://www.trane.com/residential/en/dealers/panther-heating-and-cooling-rock-hill-sc/"
"Palmetto Heating & Air LLC","Greenville","South Carolina","29611","Greenville South Carolina, US-29611","864-845-1400","https://www.trane.com/residential/en/dealers/palmetto-heating-and-air-llc-greenville-sc/"
"Pacific Heat & Air, Inc.","Sacramento","California","95826","Sacramento California, US-95826","916-381-8510","https://www.trane.com/residential/en/dealers/pacific-heat-and-air-inc-sacramento-ca/"
"P&M Air Conditioning","Houston","Texas","77087","Houston Texas, US-77087","713-644-9285","https://www.trane.com/residential/en/dealers/pandm-air-conditioning-houston-tx/"
"P & H Mechanical, Inc.","Summerville","South Carolina","29483","Summerville South Carolina, US-29483","843-875-7675","https://www.trane.com/residential/en/dealers/p-and-h-mechanical-inc-summerville-sc/"
"OVERHOLT HEATING & AIR, INC.","Collinsville","Oklahoma","74021","Collinsville Oklahoma, US-74021","918-371-2118","https://www.trane.com/residential/en/dealers/overholt-heating-and-air-inc-collinsville-ok/"
"Overcashier & Horst Htg & A/C","Sylvania","Ohio","43560","Sylvania Ohio, US-43560","419-841-3333","https://www.trane.com/residential/en/dealers/overcashier-and-horst-htg-and-a-c-sylvania-oh/"
"Oregon Heating & Air Conditioning, LLC","Tualatin","Oregon","97008","Tualatin Oregon, US-97008","503-691-9699","https://www.trane.com/residential/en/dealers/oregon-heating-and-air-conditioning-llc-tualatin-or/"
"Orca Heating & Refrigeration","Brookings","Oregon","97415","Brookings Oregon, US-97415","541-412-9560","https://www.trane.com/residential/en/dealers/orca-heating-and-refrigeration-brookings-or/"
"Optimal Air Solutions LLC","Houston","Texas","77064","Houston Texas, US-77064","832-779-1008","https://www.trane.com/residential/en/dealers/optimal-air-solutions-llc-houston-tx/"
"Ontime Heating and Air Conditioning","Henderson","Kentucky","42420","Henderson Kentucky, US-42420","270-826-9998","https://www.trane.com/residential/en/dealers/ontime-heating-and-air-conditioning-henderson-ky/"
"Ongaro & Sons","San Anselmo","California","95407","San Anselmo California, US-95407","415-454-7400","https://www.trane.com/residential/en/dealers/ongaro-and-sons-san-anselmo-ca/"
"One Hour Air","Carrollton","Texas","75006","Carrollton Texas, US-75006","972-200-1945","https://www.trane.com/residential/en/dealers/one-hour-air-carrollton-tx/"
"One Choice Mechanical","Louisville","Kentucky","40118","Louisville Kentucky, US-40118","502-618-3528","https://www.trane.com/residential/en/dealers/one-choice-mechanical-louisville-ky/"
"On Time Services","Hoover","Alabama","35216","Hoover Alabama, US-35216","205-776-2025","https://www.trane.com/residential/en/dealers/on-time-services-hoover-al/"
"On The Spot HVAC","Plano","Texas","75081","Plano Texas, US-75081","972-955-0786","https://www.trane.com/residential/en/dealers/on-the-spot-hvac-plano-tx/"
"Olympic Heating & Cooling","Shelton","Washington","98584","Shelton Washington, US-98584","360-426-9945","https://www.trane.com/residential/en/dealers/olympic-heating-and-cooling-shelton-wa/"
"Oliver Heating Cooling Plumbing & Electrical","Morton","Pennsylvania","19070","Morton Pennsylvania, US-19070","888-433-1574","https://www.trane.com/residential/en/dealers/jm-oliver-heating-and-cooling-morton-pa/"
"Old Coast HVAC LLC","Savannah","Georgia","31401","Savannah Georgia, US-31401","912-232-6586","https://www.trane.com/residential/en/dealers/old-coast-hvac-llc-savannah-ga/"
"Oklahoma Air","Oklahoma City","Oklahoma","73114","Oklahoma City Oklahoma, US-73114","405-848-8688","https://www.trane.com/residential/en/dealers/oklahoma-air-oklahoma-city-ok/"
"OELERICH HVAC INC","Mundelein","Illinois","60060","Mundelein Illinois, US-60060","847-566-7900","https://www.trane.com/residential/en/dealers/oelerich-hvac-inc-mundelein-il/"
"OASIS A/C & HEATING, INC.","Green Valley","Arizona","85614","Green Valley Arizona, US-85614","520-648-1755","https://www.trane.com/residential/en/dealers/oasis-a-c-and-heating-inc-green-valley-az/"
"O2 KOOL REFRIGERATION & AC","Kingsland","Texas","78639","Kingsland Texas, US-78639","325-388-5665","https://www.trane.com/residential/en/dealers/o2-kool-refrigeration-and-ac-kingsland-tx/"
"O’Callaghan Heating and Air Conditioning","Atlanta","Georgia","30318","Atlanta Georgia, US-30318","404-577-6885","https://www.trane.com/residential/en/dealers/ocallaghan-heating-and-air-conditioning-atlanta-ga/"
"O’BRIEN SERVICE CO., INC.","Wilmington","North Carolina","28405","Wilmington North Carolina, US-28405","910-799-6611","https://www.trane.com/residential/en/dealers/d-obrien-service-co-inc-wilmington-nc/"
"NU-TEMP Heating & Cooling","Trevose","Pennsylvania","19053","Trevose Pennsylvania, US-19053","215-702-3970","https://www.trane.com/residential/en/dealers/nu-temp-heating-and-cooling-trevose-pa/"
"Northwind Air Conditioning, Heating & Mechanical Services","Houston","Texas","77092","Houston Texas, US-77092","713-683-9474","https://www.trane.com/residential/en/dealers/northwind-air-conditioning-heating-and-mechanical-services-houston-tx/"
"Northland Heating and Cooling","Duluth","Minnesota","55811","Duluth Minnesota, US-55811","218-729-6505","https://www.trane.com/residential/en/dealers/northland-heating-and-cooling-duluth-mn/"
"NORTHERN NECK MECH PLMB, HTG, & AIR","White Stone","Virginia","22576","White Stone Virginia, US-22576","804-435-6149","https://www.trane.com/residential/en/dealers/northern-neck-mech-plmb-htg-and-air-white-stone-va/"
"Northern Indoor Comfort Systems","Neillsville","Wisconsin","54456","Neillsville Wisconsin, US-54456","715-937-2676","https://www.trane.com/residential/en/dealers/northern-indoor-comfort-systems-neillsville-wi/"
"Northern Comfort System Specialists","Phillips","Wisconsin","54555","Phillips Wisconsin, US-54555","715-339-6060","https://www.trane.com/residential/en/dealers/northern-comfort-system-specialists-phillips-wi/"
"Northeast Mechanical, Inc.","Depew","New York","14043","Depew New York, US-14043","716-684-6301","https://www.trane.com/residential/en/dealers/northeast-mechanical-inc-depew-ny/"
"Northeast Heating & Cooling","Haverhill","Massachusetts","01835","Haverhill Massachusetts, US-01835","978-691-5822","https://www.trane.com/residential/en/dealers/northeast-heating-and-cooling-haverhill-ma/"
"NORTH WINDS HEATING","Okemos","Michigan","48864","Okemos Michigan, US-48864","517-351-6171","https://www.trane.com/residential/en/dealers/north-winds-heating-okemos-mi/"
"North Texas Mechanical/NTM Services, Inc.","Keller","Texas","76244","Keller Texas, US-76244","817-482-1647","https://www.trane.com/residential/en/dealers/north-texas-mechanical-ntm-services-inc-keller-tx/"
"North Tarrant Heating & Air","Watauga","Texas","76148","Watauga Texas, US-76148","817-538-4700","https://www.trane.com/residential/en/dealers/north-tarrant-heating-and-air-watauga-tx/"
"North Georgia Heating and Air","Chattanooga","Tennessee","37412","Chattanooga Tennessee, US-37412","706-965-4473","https://www.trane.com/residential/en/dealers/north-ga-heating-and-air-chattanooga-tn/"
"North Georgia Heating and Air","Ringgold","Georgia","30736","Ringgold Georgia, US-30736","706-965-4473","https://www.trane.com/residential/en/dealers/north-ga-heating-and-air-ringgold-ga/"
"North Georgia Heating and Air","Wildwood","Georgia","30757","Wildwood Georgia, US-30757","706-965-4473","https://www.trane.com/residential/en/dealers/north-ga-heating-and-air-wildwood-ga/"
"NORTH EAST AIR CONDITIONING","Converse","Texas","78109","Converse Texas, US-78109","210-658-0111","https://www.trane.com/residential/en/dealers/north-east-air-conditioning-converse-tx/"
"NORTH COUNTY COOLING, INC","Palm Beach Garden","Florida","33410","Palm Beach Garden Florida, US-33410","561-744-1180","https://www.trane.com/residential/en/dealers/north-county-cooling-inc-palm-beach-garden-fl/"
"North Central Mechanical Service Company","Mason City","Iowa","50401","Mason City Iowa, US-50401","641-424-4828","https://www.trane.com/residential/en/dealers/north-central-mechanical-service-company-mason-city-ia/"
"NORTH BEACH SERVICES, INC","Harbinger","North Carolina","27941","Harbinger North Carolina, US-27941","252-491-2878","https://www.trane.com/residential/en/dealers/north-beach-services-inc-harbinger-nc/"
"North Air","Burbank","California","91502","Burbank California, US-91502","818-426-1125","https://www.trane.com/residential/en/dealers/north-air-burbank-ca/"
"Nortek Environmental","Naperville","Illinois","60563","Naperville Illinois, US-60563","630-548-1500","https://www.trane.com/residential/en/dealers/nortek-environmental-naperville-il/"
"NORRIS MECHANICAL","Powells Point","North Carolina","27966","Powells Point North Carolina, US-27966","252-491-2673","https://www.trane.com/residential/en/dealers/norris-mechanical-powells-point-nc/"
"Noonan Energy","Springfield","Massachusetts","01104","Springfield Massachusetts, US-01104","413-734-7396","https://www.trane.com/residential/en/dealers/noonan-energy-springfield-ma/"
"NOLAN HEATING & AIR INC","Colfax","Washington","99111","Colfax Washington, US-99111","509-397-6944","https://www.trane.com/residential/en/dealers/nolan-heating-and-air-inc-colfax-wa/"
"NOEL CLAYTON HTG & AC","Frankfort","Kentucky","40601","Frankfort Kentucky, US-40601","502-223-0107","https://www.trane.com/residential/en/dealers/noel-clayton-htg-and-ac-frankfort-ky/"
"Nodine’s Heating Inc.","Red Creek","New York","13143","Red Creek New York, US-13143","315-754-8082","https://www.trane.com/residential/en/dealers/nodines-heating-inc-red-creek-ny/"
"Nittany Oil Company, Inc.","State College","Pennsylvania","16803","State College Pennsylvania, US-16803","814-342-0210","https://www.trane.com/residential/en/dealers/nittany-oil-company-inc-state-college-pa/"
"NICKS REFRIGERATION SRVC, INC.","Thibodaux","Louisiana","70301","Thibodaux Louisiana, US-70301","985-447-2647","https://www.trane.com/residential/en/dealers/nicks-refrigeration-srvc-inc-thibodaux-la/"
"Nick Dolinic Heating & Cooling","Saint Louis","Missouri","63125","Saint Louis Missouri, US-63125","314-631-8222","https://www.trane.com/residential/en/dealers/nick-dolinic-heating-and-cooling-saint-louis-mo/"
"NICK & CO.","Charlotte","North Carolina","28227","Charlotte North Carolina, US-28227","704-366-5858","https://www.trane.com/residential/en/dealers/nick-and-co-charlotte-nc/"
"Newtown Heating & Air","Langhorne","Pennsylvania","19053","Langhorne Pennsylvania, US-19053","215-968-5600","https://www.trane.com/residential/en/dealers/newtown-heating-and-air-langhorne-pa/"
"Newmans Heat and Air","Etowah","Tennessee","37329","Etowah Tennessee, US-37329","423-263-9815","https://www.trane.com/residential/en/dealers/newmans-heat-and-air-etowah-tn/"
"New Century Air Systems","Rancho Cordova","California","95742","Rancho Cordova California, US-95742","916-362-2822","https://www.trane.com/residential/en/dealers/new-century-air-systems-rancho-cordova-ca/"
"NERO AIR CONDITIONING","North Haven","Connecticut","06473","North Haven Connecticut, US-06473","203-248-8110","https://www.trane.com/residential/en/dealers/nero-air-conditioning-north-haven-ct/"
"Nelson Comfort","Cincinnati","Ohio","45227","Cincinnati Ohio, US-45227","513-561-7517","https://www.trane.com/residential/en/dealers/nelson-comfort-cincinnati-oh/"
"Nelson Air Conditioning","Jacksonville","Florida","32223","Jacksonville Florida, US-32223","904-703-5050","https://www.trane.com/residential/en/dealers/nelson-air-conditioning-jacksonville-fl/"
"Neece Heating and Cooling Inc.","Independence","Missouri","64050","Independence Missouri, US-64050","816-461-8200","https://www.trane.com/residential/en/dealers/neece-heating-and-cooling-inc-independence-mo/"
"Neal’s Heating & Air Conditioning LLC","La Fayette","Georgia","30728","La Fayette Georgia, US-30728","423-883-3979","https://www.trane.com/residential/en/dealers/neals-heating-and-air-conditioning-llc-la-fayette-ga/"
"Nauman Mechanical Inc","E Stroudsburg","Pennsylvania","18301","E Stroudsburg Pennsylvania, US-18301","570-476-7606","https://www.trane.com/residential/en/dealers/nauman-mechanical-inc-e-stroudsburg-pa/"
"Naughton Mechanical LLC","Saint John","Indiana","46373","Saint John Indiana, US-46373","219-365-7055","https://www.trane.com/residential/en/dealers/naughton-mechanical-llc-saint-john-in/"
