"compnay_name","website","facebook","linkdein","twitter","img","city","emails","address","description","presentation","business_challenge","business_sector","business_solution","business_intervention","business_product_name","business_product_description"
"LA POSTE SOLUTIONS BUSINESS","http://www.laposte.fr","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication.btb@laposte.fr","BU Media
9 rue du Colonel Pierre Avia
75757 Paris Cedex 15
FRANCE
communication.btb@laposte.fr
http://www.laposte.fr","How did Leroy Merlin boost its point of sale in Saint Ouen – Paris, in a competitive context strongly challenged by pure-players?","","OMNI CHANNEL COMMERCE","","Solutions Workshops","How did Leroy Merlin boost its point of sale in Saint Ouen – Paris, in a competitive context strongly challenged by pure-players?","",""
"Kiliba","https://www.kiliba.com/","https://www.facebook.com/Kiliba-108702998298534","https://www.linkedin.com/company/14872160/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@kiliba.com","704 avenue Roger Salengro
92370 Chaville
FRANCE
contact@kiliba.com
https://www.kiliba.com/","","Kiliba is a 100% automated marketing automation solution. Save time and money by connecting Kiliba to your CMS and automate your marketing campaigns in 2 minutes.","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Loyalty 
Marketing automation
Predictive marketing
RETAIL TECH / DIGITAL IN STORE
AI","","","",""
"Splio","https://splio.com/","","https://www.linkedin.com/company/splio/","https://twitter.com/Splio","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@splio.fr","27 boulevard des Italiens
75002 Paris
FRANCE
marketing@splio.fr
https://splio.com/","How to exploit the whole potential of all your customers in your database?","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
CRM / Customer Relations Center
Predictive marketing","Solutions Workshops","How to exploit the whole potential of all your customers in your database?","",""
"PayPlug","https://www.payplug.com/","https://www.facebook.com/PayPlug/","https://fr.linkedin.com/company/payplug","https://twitter.com/payplug","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@payplug.com","110 avenue de France
75013 Paris
FRANCE
contact@payplug.com
https://www.payplug.com/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
Secure payment","","","",""
"Vyking","https://www.vyking.io/","","https://www.linkedin.com/company/vyking/","https://twitter.com/Vykingio","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/deu.svg","GERMANY","lorena@vyking.io","Lohmühlenstraße 65
12435 Berlin
GERMANY
lorena@vyking.io
https://www.vyking.io/","","","MARKETING","RETAIL TECH / DIGITAL IN STORE
Body Scanner / Augmented reality / Virtual reality
Virtual commerce","","","",""
"MANGOPAY","https://www.mangopay.com/fr/","","https://www.linkedin.com/company/mangopay---leetchi-group/","https://twitter.com/mangopay","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","lise.malengrez@mangopay.com","2 Avenue Amélie
L-1125 Luxembourg
FRANCE
lise.malengrez@mangopay.com
https://www.mangopay.com/fr/","How did KIABI initiate the diversification of its business towards a marketplace model?","MANGOPAY provides an online payment solution to manage third-party transactions, designed for marketplaces and platforms.","MARKETPLACES","IT FOR COMMERCE
E-commerce platforms
Marketplace / Professional seller
Technical integration
PAYMENT SOLUTIONS
Digital Wallet
Fintech
Online payment
Secure payment","Solutions Workshops","How did KIABI initiate the diversification of its business towards a marketplace model?","",""
"Innovative Technology","http://www.innovative-technology.com","https://www.facebook.com/InnovativeTechnology","https://www.linkedin.com/company/innovative-technology-ltd","https://twitter.com/notevalidators","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","sales@innovative-technology.co.uk","Innovative business park
Derker street
OL1 4EQ Oldham
UNITED KINGDOM
sales@innovative-technology.co.uk
http://www.innovative-technology.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Biometrics
Secure payment","","","",""
"DECADE","http://www.decade.fr","","https://www.linkedin.com/company/decade/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","smadja.m@decade.fr","18 - 26 rue Goubet
75019 Paris
FRANCE
smadja.m@decade.fr
http://www.decade.fr","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
Marketplace / Professional seller
Websites development / E-shops","","","",""
"PRESTASHOP","http://www.prestashop.com","https://www.linkedin.com/company/prestashop/","https://www.linkedin.com/company/prestashop/","https://twitter.com/prestashop","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@prestashop.com","4 rue Jules Lefebvre
75009 Paris
FRANCE
contact@prestashop.com
http://www.prestashop.com","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
Websites development / E-shops","","","",""
"DPD FRANCE","http://www.dpd.fr","https://www.facebook.com/DPDFrance/","https://www.linkedin.com/company/dpdfrance/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","information@dpd.fr","11-13 rue René Jacques
Etablissement 975
92130 Issy- les-Moulineaux
FRANCE
information@dpd.fr
http://www.dpd.fr","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Express delivery / Final mile delivery
National transport","","","",""
"Auchan","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","200 rue de la Recherche
59650 Villeneuve-d'Ascq
FRANCE","","","","","","","",""
"BNP PARIBAS PERSONAL FINANCE","http://www.bnpparibas-pf.com","","https://www.linkedin.com/company/bnp-paribas-personal-finance/","https://twitter.com/BNPP_PF","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","pf.contactdistribution@bnpparibas-pf.com","18 rue Baudin
92300 Levallois-Perret
FRANCE
pf.contactdistribution@bnpparibas-pf.com
http://www.bnpparibas-pf.com","The STORE apocalypse is cancelled. The future of Retail is EXPERIENCE. That little extra that can't be downloaded! ","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Digital Wallet
M-payment","Solutions Workshops","The STORE apocalypse is cancelled. The future of Retail is EXPERIENCE. That little extra that can't be downloaded!","",""
"SYMOTRONIC - CIB INGENIERIE","http://www.symotronic.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","wmartins@symotronic.com","75 rue Francis de Pressensé
Parc République
69100 Villeurbanne
FRANCE
wmartins@symotronic.com
http://www.symotronic.com","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Digital Wallet
Payment Kiosk / Payment terminal","","","",""
"apg","http://www.apgsolutions.com","https://www.facebook.com/apgglobalsolutions","https://www.linkedin.com/company/apgglobalsolutions","https://twitter.com/apg_solutions","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","ventes@apgsolutions.com","13 rue de Témara 
78100 Saint-Germain-en-Laye
UNITED KINGDOM
ventes@apgsolutions.com
http://www.apgsolutions.com","","At apg we believe brick-and-mortar retail connects people to their community, to each other, and drives business success. We’re a leading global manufacturer of best-in-class cash management solutions and PoS peripherals. Our products improve the lives of retail and hospitality providers in over 90 countries.","AGILE CUSTOMER EXPERIENCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Softwares / ERP / Analytics
Weighing systems","","","smarttill","The smarttill cash management solutions captures, in real-time, all cash activity at its location and
reconciles to sales made. This information is collected without affecting transaction time or
interrupting the retail transaction. "
"Global P.O.S","http://www.globalpos.fr","","https://www.linkedin.com/company/globalpos/","https://twitter.com/Global_POS","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@globalpos.fr","1 avenue du Golf
L'orée des Mas - Bâtiment les Oliviers
34670 Baillargues
FRANCE
contact@globalpos.fr
http://www.globalpos.fr","","","NEW MEANS OF PAYMENT","MARKETING / DATA / CUSTOMER RELATIONS
Coupons / Gift vouchers
PAYMENT SOLUTIONS
Blockchain / Cryptocurrency (bitcoin ...)
Digital Wallet
RETAIL TECH / DIGITAL IN STORE
Digital signage
Dynamical POS advertising 
Interactive window","","","",""
"SINFIN™","http://www.sinfin.fr","https://www.facebook.com/SinfinDXP","https://www.linkedin.com/company/1742721/","https://twitter.com/sinfin_dxp?lang=fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sinfin.fr","1 Avenue Louis François Armand
10430 Rosières-prés-Troyes
FRANCE
contact@sinfin.fr
http://www.sinfin.fr","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms
E-merchandising","","","",""
"PICKEOS","http://www.pickeos.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@pickeos.com","7 rue des Rolliers
30820 Caveirac
FRANCE
sales@pickeos.com
http://www.pickeos.com","How to quickly improve order preparation without massive investment ? Pickeos, a solution designed for SMEs, used by large groups","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Logistics & Supply chain softwares
Warehouse Management / Inventory Management / Financial Management","Solutions Workshops","How to quickly improve order preparation without massive investment ? Pickeos, a solution designed for SMEs, used by large groups","",""
"MONDIAL RELAY","http://www.mondialrelay.fr","https://www.facebook.com/MondialRelay/","https://www.linkedin.com/company/mondial-relay/","https://twitter.com/mondialrelay","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","newbiz@mondialrelay.fr","1 avenue de l'Horizon
59650 Villeneuve d'Ascq
FRANCE
newbiz@mondialrelay.fr
http://www.mondialrelay.fr","From delivery service to customer experience","Mondial Relay is the specialist in out-of-home delivery for over 20 years. But it's also 9 European countries, 105,000 e-tailers, 13,500 PUDOs & APM in France, innovations to simplify everyone's life, convenience and security at the best price, and therefore more smiles around every corner.","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Connected lockers
Cross-border logistics
Express delivery / Final mile delivery
Multi-channel logistics
National transport
Return management (reverse logistics)","Solutions Workshops","From delivery service to customer experience","APM / Locker","Send, receive, smile with Mondial Relay Lockers! Accessible and available 24/7, our automatic lockers are even more practical and sustainable"
"The HolwegWeber Group","https://www.holwegweber.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","holweg@holweg.fr","11 route industrielle de la Hardt
67120 Molsheim
FRANCE
holweg@holweg.fr
https://www.holwegweber.com","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Click & Collect
Packaging","","","",""
"Bigblue","https://www.bigblue.co/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","tim@bigblue.io","2 rue d'Austerlitz
31000 Toulouse
FRANCE
tim@bigblue.io
https://www.bigblue.co/","","","","","","","",""
"ONEY","http://partners.oney.com","","","https://twitter.com/OneyFrance","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","partenariat@oney.fr","34 avenue de Flandre
59170 Croix
FRANCE
partenariat@oney.fr
http://partners.oney.com","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Digital Wallet
M-payment
Online payment","","","",""
"BPI FRANCE PARTICIPATIONS","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","6/8 Boulevard Haussmann
75009 PARIS
FRANCE","Discover the first mapping of French Sustainable Retail startups","","","","Solutions Workshops","Discover the first mapping of French Sustainable Retail startups","",""
"CORHOFI","http://www.corhofi.com","","https://www.linkedin.com/company/corhofi/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","prwcorhofi@CORHOFI.com","1 rue des Rivières
69009 Lyon
FRANCE
prwcorhofi@CORHOFI.com
http://www.corhofi.com","","","AGILE CUSTOMER EXPERIENCE","SERVICES
Audit / Consultancy
Funding bodies / Financial services / Insurance","","","",""
"Alma","https://getalma.eu/","","https://www.linkedin.com/company/alma-alma-alma/mycompany/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@getalma.eu","176 avenue du Général de Gaulle
92200 Neuilly-sur-Seine
FRANCE
contact@getalma.eu
https://getalma.eu/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment","","","",""
"SOTI","http://www.soti.fr","https://www.facebook.com/soti.net","http://www.linkedin.com/company/600561","https://twitter.com/soti_inc","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sales@soti.net","63 ter avenue Edouard Vaillant
92100 Boulogne-Billancourt
FRANCE
sales@soti.net
http://www.soti.fr","","","SUPPLY CHAIN","IT FOR COMMERCE
Apps
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Predictive tools / Statistical tools / Multi-channel analysis","","","",""
"LM CONTROL","https://www.lmcontrol.com","","https://www.linkedin.com/company/lmcontrol/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@lmcontrol.fr","2 Boulevard Marcel Dassault
BP 22
69330 Jonage
FRANCE
marketing@lmcontrol.fr
https://www.lmcontrol.com","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Contactless payment
Payment Kiosk / Payment terminal","","","",""
"NEO SYSTEMS","http://www.neosystems.fr","","https://www.linkedin.com/company/groupe-neosystems/?originalSubdomain=fr","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@neosystems.fr","8/10 rue du Bois Sauvage
91000 Evry
FRANCE
contact@neosystems.fr
http://www.neosystems.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
M-payment","","","",""
"UNITECH EUROPE","https://eu.ute.com","https://www.facebook.com/UnitechEurope/","https://www.linkedin.com/company/unitech-europe","https://twitter.com/unitecheu","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/nld.svg","NETHERLANDS","info@eu.ute.com","Kaptitein Hatterasstraat 19
5015 BB Tilburg
NETHERLANDS
info@eu.ute.com
https://eu.ute.com","","","OMNI CHANNEL COMMERCE","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Multi-channel logistics
RFID / Multichannel traceability
Warehouse Management / Inventory Management / Financial Management
RETAIL TECH / DIGITAL IN STORE
Mobile applications
Self-scanning
Touch screens / Touch tables","","","",""
"EPSON","https://www.epson.fr/","https://www.facebook.com/EpsonFrance/","https://www.linkedin.com/company/9237865?trk=prof-exp-company-name","https://twitter.com/Epson_FR","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","christelle.jacob@epson.fr","150 rue Victor Hugo 
92300 Levallois-Perret
FRANCE
christelle.jacob@epson.fr
https://www.epson.fr/","","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout
Printing Solutions: Software, 3D…","","","",""
"AFSOL","https://www.afsol.fr/fr","","https://www.linkedin.com/in/mohamed-el-yakhlifi-47663118/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@afsol.fr","Tecnosud 
180 rue James Watt
66100 Perpignan
FRANCE
contact@afsol.fr
https://www.afsol.fr/fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
Payment Kiosk / Payment terminal
Secure payment","","","",""
"Allegro Sp. z o.o.","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/pol.svg","POLAND","sylwia.a.nowak@allegro.pl","ul. Wierzbiecice 1B
61-569 Poznan
POLAND
sylwia.a.nowak@allegro.pl","Allegro - ideal place to start selling in Poland and other Central European countries. How to expand your business in CEE region ?","","","","Solutions Workshops","Allegro - ideal place to start selling in Poland and other Central European countries. How to expand your business in CEE region ?","",""
"SEMJI","https://semji.com/","https://www.facebook.com/Semjifr/","https://fr.linkedin.com/company/semji","https://twitter.com/semji_fr","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","marketing@semji.com","24 rue de la Gare
69009 Lyon
FRANCE
marketing@semji.com
https://semji.com/","+300% SEO traffic in 12 months: discover how Nuoo implemented its editorial strategy","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Content Marketing / Brand content 
SEO / SEA","Solutions Workshops","+300% SEO traffic in 12 months: discover how Nuoo implemented its editorial strategy","",""
"PEBIX-AVEM","http://hwww.avem-groupe.com","","https://www.linkedin.com/company/10778571/","https://twitter.com/AVEM_Groupe","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","ServiceCommercial.PEBIX-AVEM@avem-groupe.com","14 rue Louis Bleriot, CS10038
35172 Bruz
FRANCE
ServiceCommercial.PEBIX-AVEM@avem-groupe.com
http://hwww.avem-groupe.com","","","OMNI CHANNEL COMMERCE","PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
Checkout & POS terminal / Self-checkout","","","",""
"PARTELYA CONSULTING","https://partelya.com/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","communication@partelya.com","79 rue des Frères Lumière
93330 Neuilly-sur-Marne
FRANCE
communication@partelya.com
https://partelya.com/","","","NEW MEANS OF PAYMENT","SERVICES
Audit / Consultancy
Training / E-Learning","","","",""
"PLATANA","http://www.platana.fr","","https://www.linkedin.com/company/platana-france/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@platana.fr","49 rue de Ponthieu
75008 Paris
FRANCE
contact@platana.fr
http://www.platana.fr","After-sales service & repairability : why a break and digital delay in relation to the purchase experience?  What about a unique experience for your customers ?","","OMNI CHANNEL COMMERCE","RETAIL TECH / DIGITAL IN STORE
Softwares / ERP / Analytics","Solutions Workshops","After-sales service & repairability : why a break and digital delay in relation to the purchase experience?  What about a unique experience for your customers ?","",""
"Up2pay e-Transactions Crédit Agricole","","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","","83 boulevard des Chênes
78280 Guyancourt
FRANCE","","","","","","","",""
"SHARIZZ","https://sharizz.io","","https://www.linkedin.com/company/sharizz/?viewAsMember=true","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@sharizz.io","5B rue Blanche
95880 Enghien les Bains
FRANCE
contact@sharizz.io
https://sharizz.io","","","DATA","MARKETING / DATA / CUSTOMER RELATIONS
Data / Effectiveness measurement / Processing / Database
RETAIL TECH / DIGITAL IN STORE
Data entry systems","","","",""
"ALVARA DIGITAL SOLUTIONS","https://www.digital.alvara.eu","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@safelogy.com","42 allée Turcat Mery
13008 Marseille
FRANCE
contact@safelogy.com
https://www.digital.alvara.eu","","","","","","","",""
"CNPP","https://www.cnpp-cybersecurity.com","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","antoine.boussais@cnpp.com","48 boulevard des batignolles
75017 Paris
FRANCE
antoine.boussais@cnpp.com
https://www.cnpp-cybersecurity.com","","","MARKETPLACES","PAYMENT SOLUTIONS
Cyber security
Secure payment","","","",""
"ShareGroop","https://sharegrooppay.com/","","https://www.linkedin.com/company/10581066/admin/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@sharegroop.com","40 bis rue du Faubourg Poissonnière
75010 Paris
FRANCE
hello@sharegroop.com
https://sharegrooppay.com/","Boost its revenue by personalizing the payment experience of its customers and with little integration effort.","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment","Solutions Workshops","Boost its revenue by personalizing the payment experience of its customers and with little integration effort.","",""
"AFFILAE","https://affilae.com/fr/logiciel-affiliation/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","alexandre@affilae.com","9 rue André Darbon
33000 Bordeaux
FRANCE
alexandre@affilae.com
https://affilae.com/fr/logiciel-affiliation/","Boost the growth potential of your influencer sales through affiliation.","","","","Solutions Workshops","Boost the growth potential of your influencer sales through affiliation.","",""
"DJUST","https://www.djust.io/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@djust.io","21 Rue de la Boétie
75008 Paris
FRANCE
contact@djust.io
https://www.djust.io/","","","OMNI CHANNEL COMMERCE","IT FOR COMMERCE
E-commerce platforms","","","",""
"ACSEL","https://www.associationeconomienumerique.fr/","","","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@acsel.asso.fr","198 avenue de France
75013 Paris
FRANCE
info@acsel.asso.fr
https://www.associationeconomienumerique.fr/","","","","","","","",""
"COFIDIS","https://www.cofidis-retail.fr","","https://www.linkedin.com/company/9495668/admin/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","sandra.prodhomme@cofidis.fr","Parc de la Haute Borne 
61 Avenue Halley
59866 Villeneuve-d'Ascq 
FRANCE
sandra.prodhomme@cofidis.fr
https://www.cofidis-retail.fr","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Contactless payment
Digital Wallet
M-payment
Online payment
Payment card solutions
Secure payment","","","",""
"Silvr","https://www.silvr.co/","https://www.facebook.com/getsilvr","https://www.linkedin.com/company/getsilvr/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@silvr.co","33 rue Lafayette
75009 Paris
FRANCE
contact@silvr.co
https://www.silvr.co/","How Merci Handy maintains strong growth and opens up new markets with Revenue Based Financing ?","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Payment card solutions","Solutions Workshops","How Merci Handy maintains strong growth and opens up new markets with Revenue Based Financing ?","",""
"Daisycon part of Linehub","https://www.daisycon.com/fr/","","https://www.linkedin.com/company/daisycon/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","info@daisycon.com","P.J. oudweg  5
1314 CH Almere
FRANCE
info@daisycon.com
https://www.daisycon.com/fr/","","","MARKETING","MARKETING / DATA / CUSTOMER RELATIONS
Advertising agency / Adnetworks","","","",""
"zento","http://www.zento.fr","","https://www.linkedin.com/company/zen'to","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@zento.fr","38 rue Jacques Ibert
92300 Levallois-Perret
FRANCE
contact@zento.fr
http://www.zento.fr","Kiabi & Zento: a cross-section of views to move from omnichannel strategy to action","","OMNI CHANNEL COMMERCE","CONSULTING AGENCIES
E-retail agency
IT FOR COMMERCE
Websites development / E-shops","Solutions Workshops","Kiabi & Zento: a cross-section of views to move from omnichannel strategy to action","",""
"Nuvei","https://nuvei.com/","https://www.facebook.com/NuveiTech/","https://www.linkedin.com/company/nuvei/","https://twitter.com/NuveiTech","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/can.svg","CANADA","joe.moore@nuvei.com","1100 René-Lévesque Blvd. W.+
Suite 900
H3B 4N4 Montréal
CANADA
joe.moore@nuvei.com
https://nuvei.com/","Maximizing Online Conversion for Gen Z Shoppers","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment","Solutions Workshops","Maximizing Online Conversion for Gen Z Shoppers","",""
"Worldpay from FIS","https://www.fisglobal.com/en-gb/merchant-solutions-worldpay","","https://www.linkedin.com/company/worldpay/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","xavier.lee@fisglobal.com","46, rue Notre-Dame-des-Victoires
75002 Paris
FRANCE
xavier.lee@fisglobal.com
https://www.fisglobal.com/en-gb/merchant-solutions-worldpay","The future of payments with Worldpay and Ubisoft","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Online payment","Solutions Workshops","The future of payments with Worldpay and Ubisoft","",""
"cockpitLAB","https://www.cockpitlab.io","","https://www.linkedin.com/in/jerome-scat/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","jerome@cockpitlab.io","2 rue de la République
57330 Kanfen
FRANCE
jerome@cockpitlab.io
https://www.cockpitlab.io","","","MARKETPLACES","IT FOR COMMERCE
Apps
Marketplace / Professional seller","","","",""
"GDLOGISTIQUE","http://www.gdlogistique.fr","@gdlogistique","@gdlogistique","@gdlogistique","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","contact@gdlogistique.fr","ZI rue du Petit Crachis
45210 Ferrieres-en-Gatinais
FRANCE
contact@gdlogistique.fr
http://www.gdlogistique.fr","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Multi-channel logistics
Order management","","","",""
"Zebra Technologies Europe","http://www.zebra.com/gb/en.html","https://www.facebook.com/ZebraTechnologiesEMEA/?brand_redir=107703715989073","https://www.linkedin.com/company/zebra-technologies/mycompany/","https://twitter.com/ZebraTechnology?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/gbr.svg","UNITED KINGDOM","emea.invoicesret@zebra.com","Dukes Meadow
Millboard Road
SL8 5XF Bourne End
UNITED KINGDOM
emea.invoicesret@zebra.com
http://www.zebra.com/gb/en.html","The best in France for Anti-Waste: AI saves 35 million products per year for Auchan!","","OMNI CHANNEL COMMERCE","FEDERATIONS / ASSOCIATIONS / PRESS
Professional organization
LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Automation (robots, picking ....)
Click & Collect
Return management (reverse logistics)
RFID / Multichannel traceability
Warehouse Management / Inventory Management / Financial Management
PAYMENT SOLUTIONS
Payment Kiosk / Payment terminal
RETAIL TECH / DIGITAL IN STORE
Beacon / NFC / RFID / WIFI
Checkout & POS terminal / Self-checkout
Computer equipment / Smartphone / Tablets
Printing Solutions: Software, 3D…
Self-scanning
SERVICES
Audit / Consultancy","Solutions Workshops","The best in France for Anti-Waste: AI saves 35 million products per year for Auchan!","",""
"Kuehne+Nagel","https://fr.kuehne-nagel.com/","","https://www.linkedin.com/company/kuehne-nagel/","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","anaelle.trival-pierre@kuehne-nagel.com","Parc d'activité du nid à Grives
ZAC des hauts de Ferrières
77164 Ferrières-en-Brie 
FRANCE
anaelle.trival-pierre@kuehne-nagel.com
https://fr.kuehne-nagel.com/","","","SUPPLY CHAIN","LOGISTICS / E-LOGISTICS / SUPPLY CHAIN
Automation (robots, picking ....)
Multi-channel logistics","","","",""
"PAYTWEAK","https://www.paytweak.com/","","https://www.linkedin.com/company/paytweak/","https://twitter.com/paytweak","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","hello@paytweak.com","31 avenue des Champs-Élysées
75008 Paris
FRANCE
hello@paytweak.com
https://www.paytweak.com/","Is accepting cryptos payments a growth lever for retail","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Blockchain / Cryptocurrency (bitcoin ...)
Fintech
Online payment
Payment Kiosk / Payment terminal","Solutions Workshops","Is accepting cryptos payments a growth lever for retail","",""
"Adyen","http://www.adyen.com/fr_FR/","","https://www.linkedin.com/company/adyen","","https://liste-exposants.hubj2c.com/modules/flags/flags/svg/fra.svg","FRANCE","france@adyen.com","6-8 boulevard Haussmann
75009 Paris
FRANCE
france@adyen.com
http://www.adyen.com/fr_FR/","","","NEW MEANS OF PAYMENT","PAYMENT SOLUTIONS
Fintech
Secure payment","","","",""
