"exhibitor_company_name","exhibitor_city","exhibitor_state","exhibitor_country","exhibitor_description","exhibitor_website","exhibitor_linkedin","exhibitors_page_url"
"Firich Enterprises Company Limited","Fremont","CA","United States","FEC, founded in 1995, is a worldwide leader in POS Systems and Self Service Kiosks generating solid and consistent growth. With dynamic POS expertise in hardware design and manufacturing, FEC provides a full range of POS and Self Service Kiosks products, including All-in-One Touch Terminals, BOX PCs, Touch Monitors, KIOSK and Peripherals.","https:http://www.fecpos.com","","https://nrfbigshow.nrf.com/company/firich-enterprises-company-limited"
"First Insight","Warrendale","PA","United States","First Insight is one of the world’s leading Experience Management (XM) platforms that empowers companies to significantly incorporate the Voice of the Customer into the design, pricing, planning and marketing of products and service offerings. Through the use of online consumer management tools, the First Insight platform gathers real-time consumer data and applies predictive analytic models to create actionable insights to power decisions which drive measurable value. Customers include some of the world’s leading vertically integrated brands, sporting goods companies, department stores, consumer products companies, mass merchant retailers and wholesalers. For further information, please visit www.firstinsight.com.d","https:http://www.firstinsight.com","https://www.linkedin.com/company/first-insight-inc-/","https://nrfbigshow.nrf.com/company/first-insight"
"Fiscal solutions doo","Novi Sad","Other","Serbia","A global leader in offering software and fiscal services, Fiscal Solutions has been on the market for 19 years. During this time, we have been working with the biggest international retailers. With a vision to help them expand around the globe, we have developed a unique system of 4 products. First, take a look at the Fiscal Portal where you will find detailed information on fiscalization in more than 22 countries + Metaverse. If you prefer human contact, our legal and technical consultants are at your disposal to explain everything to you in our Country Workshops. Finally, if you choose to integrate our middleware which has one interface for all countries, you will receive round clock fiscal support. This unique concept is a testament to our commitment to offering global retailers the best possible experience in fiscal projects around the world. For more information visit: https://www.fiscal-solutions.com/","","https://www.linkedin.com/company/13024482/admin/","https://nrfbigshow.nrf.com/company/fiscal-solutions-doo"
"FIT:MATCH","Fort Lauderdale","FL","United States","FIT:MATCH’s patented digital twin platform eliminates guesswork, allowing customers to shop only what fits. Based on our partnership with Savage X Fenty, Adweek recently awarded our platform with the 2022 Commerce Award for the “Best Virtual Fitting Room Technology” across the entire market. Our algorithms derive a shopper’s 3D body shape using augmented reality and LIDAR-powered devices, to make personalized recommendations based on what products fit her digital twin. FIT:MATCH as a whole is designed to eliminate brands’ and consumers’ questions about fit in order to drive conversion and loyalty, while reducing returns.","https:http://www.fitmatch.ai","https://www.linkedin.com/company/fit-match/","https://nrfbigshow.nrf.com/company/fitmatch"
"Flex Technology Group","Mesa","AZ","United States","Flex Technology Group provides customized office technology solutions for national and leading-edge regional companies. The company focuses on print, document management, document production and managed IT solutions, representing industry-leading suppliers such as Canon, Ricoh, Konica Minolta, HP, Lexmark, and various software solutions. FTG services over 35,000 customers nationally. For additional information on FTG, please visit www.flextg.com.","https://www.flextg.com/","","https://nrfbigshow.nrf.com/company/flex-technology-group"
"FlexPost, Inc.","Holland","MI","United States","With an average of 23,000 patrons walking through the door of a large supercenter per day, it is not hard to imagine the peril, potential accidents, property damage, and damage to customer vehicles. While the convergence of traffic proximal to the front door of major retail organizations is certainly good for business, the number of car/signpost collisions has skyrocketed by nearly 375%. Read our Retail Case Study here: www.flexpostinc.com/blog FlexPost® is here to help you manage traffic and keep people safe as you prepare for curbside pickup, ADA parking, and other reserved parking spaces. We manufacture parking lot flexible signposts and bollard systems that save real estate and facilities management professionals thousands of dollars annually in parking lot repair and maintenance costs, while improving the customer experience. Our products meet ADA height regulations and withstand vehicle impacts by remaining flexible and durable over repeated hits, while minimizing damage to parking lots and vehicles. We also offer custom branding options to include logos and match color schemes. Stop by and see us in Booth #1461 or visit us online at www.flexpostinc.com.","https:http://www.flexpostinc.com","https://www.linkedin.com/company/10620981/admin/","https://nrfbigshow.nrf.com/company/flexpost-inc"
"Flintfox: Intelligent Pricing Platform","Rosedale","Auckland","New Zealand","Looking for a next-gen pricing platform to take your pricing strategy to the next level? Trusted by 225,000 users worldwide, Flintfox helps retailers find magic in the margins by automating rebates, delivering omnichannel pricing at scale with our hyper-speed pricing engine, and giving you instant visibility to your margins and profits.  Our intelligent pricing platform works hand in hand with any ERP to untangle complexity and unlock incremental value, providing you with fast and accurate pricing to improve margin and profitability.  Goodbye spreadsheets, hello intelligent pricing.","https:http://flintfox.com","https://www.linkedin.com/company/flintfox/","https://nrfbigshow.nrf.com/company/flintfox-intelligent-pricing-platform"
"Flooid","Cincinnati","OH","United States","Flooid is a market-leading unified commerce platform provider that enables retail and hospitality brands to sell to customers flexibly and consistently, wherever they are and however they choose to shop. Our scalable cloud-native composable solution and services portfolio includes assisted and self-service experiences, an open API services platform and operational business analytics as well as estate management solutions that enable retailers to select the right mix of services and technology partners to facilitate the selling journey that's right for every customer. For nearly four decades, Flooid has been successful in providing solutions to and supporting more than 150 major retailers in over 45 countries around the globe. One unified commerce platform. Unlimited innovation. For more information, please visit https://www.flooid.com.","https:http://www.flooid.com","https://www.linkedin.com/company/flooid/","https://nrfbigshow.nrf.com/company/flooid"
"Flow","Tel Aviv","","Israel","Flow (previously walkout) is a real-time fast checkout solution based on AI, machine learning, machine vision & computer vision to ensure highly accurate real-time product identification. The technology is based on hardware (mounted cameras and screen) and a SaaS solution. With the technology, grocery retailers can now offer a shopping experience that reduces operating costs and provides a clear snapshot. During the show, we will present the latest version of our existing product FlowCart and unveil our latest technology FlowSCO. An add-on to any existing self-checkout device with a single camera to secure from anti-theft and to ensure all items are correctly scanned. The software is effective for the Pass Around and the Banana Trick incidents attempts.","https:http://walkout.co/","https://www.linkedin.com/company/walkout","https://nrfbigshow.nrf.com/company/flow"
"Fluent Commerce","The Rocks","New South Wales","Australia","Are you overselling and canceling orders? Frustrating your customers? Paying for ads that lead to out of stock products? Losing sales because you are underselling? Getting too many order status support calls? Sounds like you're struggling with accurate, near real-time inventory availability. Sound familiar?       Like many retailers, you've probably extended your commerce platform and ERP to fix this issue. But it's just not working.       To keep up with today's omnichannel demand, top retailers like ALDO, Breitling, JD Sports, L'Oreal, Prada and LVMH know they need a distributed order management system to provide accurate inventory availability to all sales channels. Why? So they can reduce overselling, underselling, canceled orders and lost sales. Deliver faster—for less. And get the digital agility their business needs to thrive.       That’s why they selected Fluent Order Management from Fluent Commerce. It’s the flexible, scalable distributed order management platform designed for market leaders, like you. Start improving your CX today. Learn more at fluentcommerce.com.","https:http://www.fluentcommerce.com","https://www.linkedin.com/company/fluent-commerce","https://nrfbigshow.nrf.com/company/fluent-commerce"
"Fluid Truck","Denver","CO","United States","Fluid Truck is an on-demand commercial vehicle rental platform that offers 24/7 mobile access to a wide array of trucks, vans, electric vehicles, and more, to help businesses and individuals move better at the tap of a button.  To learn more or to instantly book a vehicle, please visit www.fluidtruck.com or the Fluid Truck App on the App Store and Google Play. #TruckYeah","https:http://fluidtruck.com","https://www.linkedin.com/company/fluid-inc./","https://nrfbigshow.nrf.com/company/fluid-truck"
"Flxpoint","Jacksonville Beach","FL","United States","Flxpoint is the best Order Management System for Distributed Fulfillment Retailers or Brands.","https:http://www.flxpoint.com","https://www.linkedin.com/company/flxpoint/mycompany/","https://nrfbigshow.nrf.com/company/flxpoint"
"Flybuy by Radius Networks","Washington","DC","United States","Radius Networks is a location technology company that helps companies save time for customers and staff by streamlining operations and the user experience. The Flybuy SaaS platform is leveraged by restaurants, retailers, hospitality, and grocers around the world and includes: Flybuy Pickup for curbside, delivery, and in-store pickup; Flybuy Pay for mobile payment optimization; Flybuy Drive-Thru for loyalty identification and offer redemption, and Flybuy Tableside for innovative dine-in experiences. Radius Networks technology is installed globally in tens of thousands of locations across more than 60 countries. Our clients include some of the world’s largest brands like Harris Teeter, Ahold Delhaize, Peapod Digital Labs, Giant Eagle, Petco and Belk.","https:http://flybuy.com","https://www.linkedin.com/company/2989255","https://nrfbigshow.nrf.com/company/flybuy-radius-networks"
"Focal Systems, Inc.","Burlingame","CA","United States","","https:http://www.focal.systems/","","https://nrfbigshow.nrf.com/company/focal-systems-inc"
"FORCEGET Digital Freight Forwarder","Miami Beach","FL","United States","","https:http://www.forceget.com","","https://nrfbigshow.nrf.com/company/forceget-digital-freight-forwarder"
"Foresight Retail","Markham","ON","Canada","Foresight Retail provides retailers with a sophisticated and innovative suite of merchandising solutions. From Merchandise planning to Assortment planning and Allocation, leveraging our Smart Forecasting module, it revolutionizes how planners and buyers develop and get products to their stores. Our Smart Forecasting modules provide valuable insight that cannot be replicated by history alone. It's invaluable to any retailer trying to grow their business. Foresight Retail is leading the way in the planning software industry, with our enhanced system functionality and capabilities, as well as our unique blend of Planning and technical expertise. We are leveraging the latest technologies to bring this to our customers. Our expertise spans more than 20 years, and it is specifically focused on mechanizing planning solutions.","","","https://nrfbigshow.nrf.com/company/foresight-retail"
"Forter Inc.","New York","NY","United States","Forter is the Trust Platform for digital commerce. With Forter, enterprises generate more revenue and reduce losses to fraud and abuse by making accurate and real-time decisions about every digital interaction. Forter was founded on the insight that it’s not about what is being purchased, nor where, but who is behind the interaction. As a result, Forter continues to expand its global customer network— processing more than $250 billion in gross merchandise value per year. Forter is entrusted by digital commerce leaders across industries, including Nordstrom, Sephora, Instacart, Adobe, Priceline, and more. These businesses are committed to ensuring that everyone who visits their sites gets the experience they deserve.","https:http://www.forter.com","https://www.linkedin.com/company/forter/","https://nrfbigshow.nrf.com/company/forter-inc"
"Fortinet","Sunnyvale","CA","United States","Fortinet  (NASDAQ: FTNT) secures the largest enterprise, service provider, and government organizations around the world.  Fortinet  empowers its customers with intelligent, seamless protection across the expanding attack surface and the power to take on ever-increasing performance requirements of the borderless network - today and into the future. Only the Fortinet Security Fabric architecture can deliver security without compromise to address the most critical security challenges, whether in networked, application, cloud or mobile environments.  Fortinet  ranks #1 in the most security appliances shipped worldwide and more than 425,000 customers trust  Fortinet  to protect their businesses. Learn more at http://www.fortinet.com,","https:http://www.fortinet.com/","","https://nrfbigshow.nrf.com/company/fortinet"
"Fountain","San Francisco","CA","United States","Fountain is the market leader in high volume hiring because its solutions enable customers to get ahead of their hiring goals. Fountain’s all-in-one platform enables companies to find qualified candidates and move them from application to onboarding quicker, reducing time to hire from weeks to days—or even hours. By simplifying the screening, interviewing and hiring experience, Fountain’s solutions keep applicants happy while ensuring organizations have pipelines full of hourly talent that are ready to work. Hundreds of customers use Fountain’s solutions to hire over 3 million workers annually in more than 75 countries.","https://www.fountain.com/","https://www.linkedin.com/company/fountaininc/","https://nrfbigshow.nrf.com/company/fountain"
"FourKites, Inc.","Chicago","IL","United States","FourKites is the largest predictive supply chain visibility platform, delivering real-time visibility and predictive analytics for the broadest network of Global 1000 companies and third-party logistics firms. Using a proprietary algorithm to calculate shipment arrival times, FourKites enables customers to lower operating costs, improve on-time performance and strengthen end-customer relationships. FourKites’ network spans millions of GPS/ELD devices in 176+ countries and covers all modes, including truckload, LTL, ocean, rail, air, intermodal, courier and parcel, and extends real-time visibility into the yard. FourKites has 2 million loads and over $100 billion in freight under management at any given time. The platform is optimized for mobile and equipped with market-leading end-to-end security. For more information, visit www.fourkites.com.","https://www.fourkites.com/","","https://nrfbigshow.nrf.com/company/fourkites-inc"
"Fractal","New York","NY","United States","","https:http://www.fractal.ai","","https://nrfbigshow.nrf.com/company/fractal"
"FreedomPay","Philadelphia","PA","United States","FreedomPay’s Next Level Commerce™ platform transforms existing payment systems and processes from legacy to leading edge. As the premier choice for many of the largest companies across the globe in retail, hospitality, lodging, gaming, sports and entertainment, foodservice, education, healthcare and financial services, FreedomPay's technology has been purposely built to deliver rock solid performance in the highly complex environment of global commerce. The company maintains a world-class security environment and was first to earn the coveted validation by the PCI Security Standards Council against Point-to-Point Encryption (P2PE/EMV) standard in North America. FreedomPay's robust solutions across payments, security, identity, and data analytics are available in-store, online and on-mobile and are supported by rapid API adoption. The award winning FreedomPay Commerce Platform operates on a single, unified technology stack across multiple continents allowing enterprises to deliver an innovative Next Level experience on a global scale. www.freedompay.com","https://corporate.freedompay.com/","https://www.linkedin.com/company/freedompay/","https://nrfbigshow.nrf.com/company/freedompay"
"Frogmi, Inc.","Newark","DE","United States","We are perfect in-store execution!    Frogmi® is a cloud-based in-store execution solution.   Through its mobile application, it supports the critical points of the operation by delivering tools for optimizing in-store processes and maximizing business results, ensuring flawless execution.       With 10+ years of experience in retail operations, 100+ retailers trust Frogmi® to optimize their day-to-day work: store checks, communication to and from stores, task management and incident reporting.    Discover how retailers improve store performance with a 360° task management platform. Learn more at frogmi.com","https://frogmi.com/home/","https://www.linkedin.com/company/frogmi/","https://nrfbigshow.nrf.com/company/frogmi-inc"
"FUJI Innovation Lab","Cupertino","CA","United States","","https://www.fujiinnovation.com/rally","","https://nrfbigshow.nrf.com/company/fuji-innovation-lab"
"Fujitsu","Richardson","TX","United States","Fujitsu Co-creates Innovative Solutions with Retailers, for Retailers. Simple, Straightforward and Powerful. We build solutions that help retailers do what they do best – take care of their customers whenever and wherever they choose to shop. Together with Fujitsu, we can co-create any solution you can envision for your stores and customers. Fujitsu Point-of-Service application software, hardware and services are the foundation of our 50-year heritage serving over 500 retailers in 52 countries. Some of the best-known retail brands choose Fujitsu to help them run their stores, supply chains and entire enterprises with innovative IT solutions. Through our agile development and solution “co-creation” processes, we work with our customers to plan, design and build products and services that empower them to compete in a new channel-less retailing world. It’s this fusion of our deep technology capabilities and our customers’ real world retail experience that is fueling a new way to rapidly create new solutions that deliver competitive advantages to our customers.","https:http://solutions.us.fujitsu.com/","","https://nrfbigshow.nrf.com/company/fujitsu"
"Fusion Connect, Inc.","Atlanta","GA","United States","About Fusion Connect Deliver exceptional customer service while safeguarding the integrity of your brand. Fusion Connect’s mid-market and enterprise-level technology infrastructure services help ensure your business is protected, optimized, and “always on,” so you can connect with your customers whenever and wherever they’re shopping.  Our managed services and solutions enable you to reduce your communication costs, more efficiently collaborate with your workforce, simplify your network management, and protect your business. To learn more about what we can do for you, visit www.fusionconnect.com or call us at +1-866-829-4318.","https://www.fusionconnect.com/","https://www.linkedin.com/company/fusionconnect","https://nrfbigshow.nrf.com/company/fusion-connect-inc"
"Gatekeeper Systems","FOOTHILL RANCH","CA","United States","Gatekeeper Systems offer retailers intelligent cart and anti-theft solutions to minimize merchandise loss and reduce asset and labor expenditures. Using radio frequency and locking wheel technologies, Gatekeeper keeps company assets on the property while avoiding shoplifter confrontations and protecting the paying customer journey. Gatekeepers CartManager® makes cart retrieval safer while reducing labor costs.  With over a million carts protected in 52 countries, Gatekeeper puts an end to cart-based shoplifting and shopping cart loss the world over. The industry’s largest sales, service and support team is committed to moving beyond quick installation and supports customers in fully operational and continuously evolving the world’s most advanced loss prevention and cart solutions that blends technological sophistication and ease-of-use. Retail analytics delivers ROI and customer shopping behaviors right to computers, phones or board rooms. Cost recovery can be achieved in 12 months. With 1,000 locations worldwide, it is easy to take action and get started with Gatekeeper Systems.","https:http://www.gatekeepersystems.com","","https://nrfbigshow.nrf.com/company/gatekeeper-systems"
"Geek+ America Inc","Carlsbad","CA","United States","Geek+ is a global technology company leading the intelligent logistics revolution. We apply advanced robotics and AI technologies to realize flexible, reliable, and highly efficient solutions for warehouses, factories and supply chain management. Our R&D team brings together the brightest robotics, computer science, AI, and industrial engineers with a deep understanding of logistics, enabling us to offer comprehensive solutions to our customers. We develop tailored solutions to a wide range of industries, including e-commerce, apparel, retail, logistics, 3PL, pharmaceutical, and manufacturing. Geek+ counts 300 global customers and has deployed more than 20,000 robots worldwide. Founded in 2015, Geek+ has over 1,000 employees and is headquartered in Beijing, with offices in Germany, the UK, the US, Japan, Hong Kong, and Singapore.","","","https://nrfbigshow.nrf.com/company/geek-america-inc"
"Gertec Brasil, LTDA","Sao Paulo","Sao Paulo","Brazil","Gertec has been operating in the market since 1989, developing and providing cutting-edge solutions for payment methods, commercial and banking automation, research and tax solutions, as well as management platforms. The company is present in the main institutions and in all retail, in Brazil and abroad. It also has a large engineering department prepared to meet the needs of the market, two modern factories - Ilhéus / BA and Manaus / AM, able to meet the demands of our customers and a service unit focused on service and support, delivering the highest levels of services in the best terms of the market, with coverage throughout the national territory.","https://www.gertec.com.br/","","https://nrfbigshow.nrf.com/company/gertec-brasil-ltda"
"gicom LP","Overath","Nordrhein-Westfalen","Germany","SAP S/4HANA Cloud for agreement profitability and negotiation by gicom enables the digitization of most crucial processes to enhance margins and profitability between traders and the consumer goods industry.  Enormous effects on profit and working capital during negotiations between traders and suppliers are common and need to be mitigated. gicom and SAP offer a complete suite of tools, providing end-to-end support throughout the entire agreement lifecycle management process to strategize, simulate, calculate, digitize, and settle all agreements. Unique solutions improve target strategy, analytics and forecasts, simulation, consistent calculation from purchase to sales and digitization up to accurate and automated settlement with Condition Contract Settlement, ultimately helping traders in grocery and hardlines to make the best possible decisions – all around the paramount imperative: Boost your profit! |  Booth  4322","https:http://www.gicom-group.com","https://www.linkedin.com/company/gicom-ag/","https://nrfbigshow.nrf.com/company/gicom-lp"
"Gideon","Osijek","","Croatia (Hrvatska)","Gideon is a robotics and AI solutions company specializing in flexible automation of material handling processes for logistics, warehousing, manufacturing, and retail businesses, helping its clients automate their most complex operations. With its advanced mobile robots and complete solutions for autonomous indoor and outdoor operations, Gideon helps businesses solve their most complex supply chain challenges: rising customer expectations, increased product variability, logistics volumes, a growing variety of distribution channels, and ultimately, labor shortage. Gideon's self-driving robots, built for unstructured, dynamic indoor and outdoor environments, are powered by proprietary spatial AI and 3D vision technology, enabling businesses to automate and orchestrate workflows of humans, robots, other equipment, and data sources; in real-time. Some of the typical use cases are unloading and loading of trailers, the transport of parts, materials, and other goods to the next processing stage, replenishment, staging & stacking, cross-docking, transportation of the product from the receiving dock to a storage location, and intralogistics.","https:http://www.gideon.ai","https://www.linkedin.com/company/gideonrobotics/mycompany/","https://nrfbigshow.nrf.com/company/gideon"
"GIGA-TMS, Inc.","New Taipei City","Hsi-Chih District","Taiwan","Scannel was established to provide automation solutions using RFID technology in the fields of textile manufacturing, apparel retail, logistics, health care, etc. Our products and services can be used in various applications such as inventory control, asset tracking, supply chain management, production management, loss prevention, brand protection and many more. We provide consultation, design, and OEM/ODM manufacturing of RFID products and systems to incorporate with IoT and Industry 4.0 concepts for our partners who wish to increase efficiency in the workplace while reducing unnecessary expenditures.     Our goal is to promote and educate people about RFID technology by creating user friendly, innovative, and effective products and services that will help our partners in achieving true automation process for every business activity.   For more information, please email us at info@scannel.net","https:http://www.gigatms.com.tw","","https://nrfbigshow.nrf.com/company/giga-tms-inc"
"Gillespie Manners","Hertfordshire","England","United Kingdom","Global Executive Search for growing businesses   Gillespie Manners is the evolution of search and selection. We place people at the forefront of our resourcing methodology, matching the right talent with the right opportunities. We work on an exclusive basis with global clients to provide a consultative headhunting experience. We're trusted by established players and emerging challengers alike to source top-tier talent for senior and niche, revenue generating roles. We help businesses expand into new regions and penetrate new markets through the strategic acquisition of highly skilled industry professionals. We've been cultivating our vast and unique network of technology talent for two decades. We find the best talent, deliver projects smoothly and help our clients to expand.  www.gillespiemanners.com  Arrange a meeting with us Testimonial:  ""The Gillespie Manners team have done a fantastic job working with us as we start up our new business unit. We have asked them to find very specific candidates and without fail, they have come through with multiple qualified candidates for each opening."" - Chief Commercial Officer View case studies here.  LinkedIn","https:http://www.gillespiemanners.com","https://www.linkedin.com/company/gillespie-manners-search-&amp;-selection","https://nrfbigshow.nrf.com/company/gillespie-manners"
"Givex","Toronto","ON","Canada","Givex operates in over 55 countries, having processed more than 16 billion transactions since 1999, across a wide array of industries. The Givex Platform provides the tools that drive customer engagement while also accelerating operational efficiency, through a merchant’s physical, online and mobile sales channels. Using Givex, all these channels generate the valuable and actionable data, protected by the maximum PCI security standards, that is crucial to maintain a competitive advantage in today's fast moving economy.","https:http://www.givex.com","","https://nrfbigshow.nrf.com/company/givex"
"GK Software USA, Inc.","Raleigh","NC","United States","GK Software Overview GK Software SE is a leading global provider of cloud solutions for the international retail industry and one of the fastest growing companies in its field. The cornerstones of the company are self-developed, open and platform-independent solutions. Thanks to its comprehensive product portfolio, 22 percent of the world's 50 largest retailers currently rely on solutions from GK. The company's customers include Adidas, Aldi, Edeka, Grupo Kuo, HyVee, Lidl, Migros and Walmart International. At the core of the portfolio is GK CLOUD4RETAIL a feature rich open platform to scale a modern retail business. GK CLOUD4RETAIL is a flexible, full-service platform offering unrivaled time-to-market and highly secure operations for retailers of all sizes.  GK's solutions includes all store transaction touchpoints, payments, mobile applications, inventory, fuel service, central returns, digital and paper signage, analytics, loyalty, personalization, dynamic pricing, AI-based solutions, and more.","https://www.gk-software.com/us/","https://www.linkedin.com/company/gk-software-usa/","https://nrfbigshow.nrf.com/company/gk-software-usa-inc"
"Glassbox","New York","NY","United States","Glassbox empowers organizations to create frictionless digital journeys for their customers. Our digital experience analytics platform works in real time across mobile apps and the web to accelerate loyalty and growth. Hundreds of enterprises across multiple industries have chosen Glassbox for easy, secure and private cloud-based deployments.","https://www.glassbox.com/","https://www.linkedin.com/company/glassbox-solutions/","https://nrfbigshow.nrf.com/company/glassbox"
"Global Payments Integrated","Columbus","GA","United States","","","https://www.linkedin.com/company/global-payments","https://nrfbigshow.nrf.com/company/global-payments-integrated"
"Globant","San Francisco","CA","United States","We are a digitally native company that helps organizations reinvent themselves and unleash their potential. We are the place where innovation, design and engineering meet scale.   We have more than 25,900 employees and we are present in 21 countries working for companies like Google, Electronic Arts and Santander, among others.   We were named a Worldwide Leader in CX Improvement Services by IDC MarketScape report.   We were also featured as a business case study at Harvard, MIT, and Stanford.     We are a member of The Green Software Foundation (GSF) and the Cybersecurity Tech Accord.  For more information, visit www.globant.com","https:http://www.globant.com","https://www.linkedin.com/company/globant/mycompany/","https://nrfbigshow.nrf.com/company/globant"
"GLORY","Lisle","IL","United States","Glory's Cash : Connected: Efficient. Secure. Quality  Customers value the security and convenience of paying with cash. Enhance their experience with cash automation solutions from Glory.   Automate and modernize every touchpoint of your retail experience with Glory -- interactive kiosks with our partner Acrelec, cash recyclers, and self check-out experiences. Minimize cash handling with the UBIQULAR™ flexible SAAS digital service to manage and inform cash automation, remotely manage devices and software, provide liquidity and optimize CIT relationships; and provide enterprise data insights to guide future-proofed retail business decisions.   Visit Glory at NRF booth #6120 to learn how we can help you become:  Efficient - Serve customers faster and free up employees for high-value interactions  Connected - With customers through fully connected solutions   Secure - Reduce the risk of moving cash from till to safe to bank and back again  Innovative - Integrate cutting-edge technologies like Mashgin to run the fastest cash transactions on earth  #SealedCashLoop  www.glory-global.com","https:http://www.glory-global.com","https://www.linkedin.com/company/glory-global","https://nrfbigshow.nrf.com/company/glory"
"GoDEX International Americas","Camarillo","CA","United States","Since its foundation in 1993, GoDEX International is an engineering company that specializes in designing and manufacturing barcode printing products that lead the industry. Whether it is desktop, industrial, mobile barcode printers, or its accessories, GoDEX leads the industry in the value of price and product quality. Our commitment to product quality is recognized by our Reseller Partner Network that is 100% dedicated to long-term customer satisfaction. With offices in the US, Europe, and China GoDEX products can be found in the industries of retail, horticulture, healthcare, manufacturing, transportation logistics, and warehousing services worldwide.","https:http://www.godexintl.com/us","https://www.linkedin.com/company/godex-international/","https://nrfbigshow.nrf.com/company/godex-international-americas"
"Google","Mountain View","CA","United States","Google helps retailers solve some of the most complex challenges across the retail value chain, unlocks new opportunities for growth, and innovates with you in a rapidly shifting industry landscape. Our various products -- including Google Cloud, Google Shopping, Chrome, Android, Google Assistant for Enterprise -- can help with retail business challenges via seamless, integrated out-of-the-box or custom solutions. This expertise, combined with our large ecosystem of partners, can help you succeed in a shifting retail landscape, whether you are looking to transform an entire business model or address specific segments of the retail value chain.","https:http://www.google.com","","https://nrfbigshow.nrf.com/company/google"
"GoShare","San Diego","CA","United States","","https:http://www.goshare.co","","https://nrfbigshow.nrf.com/company/goshare"
"goTRG","Miami","FL","United States","goTRG solves returns. goTRG's connected suite of Returns Manaagement SaaS, Reverse Supply Chain, and ReCommerce services, under one roof, delivers a true end-to-end solution for returns from initiation through resale. goTRG works with retailers, eCommerce brands, and vendors, to deliver the smartest choices for every touch movement and pricing decision, while also preventing items from unnecessarily ending up in landfills.   Learn more at: https://www.gotrg.com","https://www.gotrg.com","https://www.linkedin.com/company/gotrg/","https://nrfbigshow.nrf.com/company/gotrg"
"Graffiti","Marseille","","France","","","","https://nrfbigshow.nrf.com/company/graffiti"
"Granite Telecommunications","Quincy","MA","United States","Granite delivers advanced communications and technology solutions to businesses and government agencies throughout the United States and Canada. The $1.8 billion company serves more than two-thirds of Fortune 100 companies and has 1.75 million voice and data lines under management, supporting more than 650,000 locations. Founded in 2002, Granite has grown to be one of the largest independent telecommunications providers in the U.S. by simplifying sourcing and management of voice, data and cellular service with a single point of contact and consolidated invoicing for all locations nationwide. Today, Granite supports customers with a wide range of advanced business communications services, including access, UCaaS, mobile voice and data, and MSP solutions for SD-WAN, monitoring and network management. Granite employs more than 2,250 people at its headquarters in Quincy, Mass. and 11 regional offices nationwide. For more information, visit www.granitenet.com","https:http://www.granitenet.com","","https://nrfbigshow.nrf.com/company/granite-telecommunications"
"GridPoint","Reston","VA","United States","GridPoint offers a comprehensive energy intelligence platform that helps businesses reduce energy usage and extend asset lifecycle. By integrating with existing building assets, GridPoint provides real-time visibility into energy consumption and performance data, allowing facility managers to make informed decisions about how to best optimize their buildings.","https:http://www.gridpoint.com","https://www.linkedin.com/company/362584/","https://nrfbigshow.nrf.com/company/gridpoint"
"Groupsoft US Inc.","Princeton","NJ","United States","Groupsoft is a SAP Services Partner and systems integrator providing innovative SAP implementation and IT consulting services. Our team of experienced consultants & SMEs provide the tools and expertise to drive business success. Our services cover strategy & architecture, implementation, performance optimization, integration, enhancements, user training, post-implementation support, and managed services to ensure continuously improved return on investment. Dell EMC provides reference architecture and a blueprints for industry-leading SAP S/4HANA migration projects with technology solutions that leverage SAP S/4HANA certified infrastructure components and powerful hardware, including the latest Intel Xeon processors and Intel Optane DC persistent memory.  DellEMC is part of Dell Technologies, operates three major divisions (Dell Client Solutions, Dell EMC Infrastructure Solutions, and VMware) and owns additional brands in the cloud, infrastructure software, and security space. Booth 4618 | SAP Partners Village","https:http://www.groupsoftus.com/","","https://nrfbigshow.nrf.com/company/groupsoft-us-inc"
"GRUPO HASAR","Ricardo Rojas","Provincia de Buenos Aires","Argentina","Acelerar, innovar y potenciar negocios Especialistas en procesos comerciales y productivos.  Los únicos en ofrecerte soluciones informáticas con  una implementación de principio a fin. Somos tu mejor aliado tecnológico","https://www.grupohasar.com/","","https://nrfbigshow.nrf.com/company/grupo-hasar"
"GS1 US/Object Management Group (OMG)","Ewing Township","NJ","United States","The Retail Domain Task Force (RDTF) is a community dedicated to helping retailers and solution providers identify, adopt and integrate current and emerging information technology. The RDTF was originally founded in 1991 as a share group for retail CIOs, and then incorporated in 1993 as the Association for Retail Technology Standards (ARTS). ARTS was subsequently acquired by the National Retail Federation (NRF) in 1998; the Object Management Group® (OMG®) and NRF entered into a long-term agreement to manage and develop the retail standards in 2017.   UnifiedPOS, an architectural specification for application interfaces to point-of-service devices used in a retail environment is maintained by the OMG RDTFand adopted globally by retailers and solution providers.   It defines the structure of application interfaces to retail devices such as scanners, printers and scales, and describes the range of functionality in these devices that would typically be needed in a range of POS software solutions, whether physically attached or accessed over networks using web services.  The OMG RDTF booth is sponsored by GS1 US.","https://www.omg.org/industries/retail.htm","","https://nrfbigshow.nrf.com/company/gs1-us-object-management-group-omg"
"gStore","Roswell","GA","United States","gStore is an adaptable, mobile-first SaaS application that creates seamless, personalized in-store experiences using smart fitting rooms, real-time inventory insights, and workforce management to optimize omnichannel retail fulfillment. The gStore application builds efficient omnichannel store operations, both on and offline by incorporating technology that brings the best innovations of ecommerce into brick and mortar shops, significantly elevating the customer experience.","https://gstore.greyorange.com/","https://www.linkedin.com/company/gstore-omnichannel-saas/","https://nrfbigshow.nrf.com/company/gstore"
